name,reported_exact_top1,pred1_exact_canon,pred10_exact_canon,proposal_exact_canon,pred1_formula_match,all_pred_formula_match,raw_duplicate_pred_count,canon_duplicate_pred_count,proposal_position_in_predictions
MassSpecGymID0002111,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0002114,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0002115,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0004088,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0004089,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0004090,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0004091,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0004092,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0004093,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0004094,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0004095,0.0,False,False,False,False,False,0,0,2.0
MassSpecGymID0004096,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0004098,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0004099,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005655,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005656,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005658,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005659,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005660,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005661,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005662,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005663,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005664,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005665,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005666,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005667,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005668,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005669,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005670,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005671,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005672,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005673,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005674,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005675,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005676,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005677,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005678,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005679,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0005681,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005682,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005683,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005684,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0005686,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005688,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005689,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005690,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005692,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005693,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005694,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005695,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005696,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005697,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005698,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005700,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005702,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005704,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005706,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0005708,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005709,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0005710,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005711,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005713,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005714,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005715,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005716,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005717,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005718,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005719,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005720,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005721,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005722,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005723,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005724,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005726,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005727,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005729,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005731,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005733,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005735,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005736,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005738,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005740,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005742,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005743,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005744,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005745,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0005747,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005749,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005751,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005753,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005754,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0005756,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0005758,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0006473,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0006474,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0006475,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0006476,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0006477,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0006478,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0006479,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0006480,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0006481,0.0,False,False,False,False,False,0,0,2.0
MassSpecGymID0006482,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0006483,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0006484,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0006485,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0006486,0.0,False,False,False,True,False,0,0,2.0
MassSpecGymID0006487,0.0,False,False,False,False,False,0,0,4.0
MassSpecGymID0006488,0.0,False,False,False,False,False,0,0,1.0
MassSpecGymID0007528,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0007529,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0007530,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012631,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0012632,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012633,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012634,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012635,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012636,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0012637,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012638,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012639,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012640,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012641,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012642,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0012643,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012644,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0012645,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0012646,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012647,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012648,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012649,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012651,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012652,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012653,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0012654,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0012655,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012656,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012657,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012658,1.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012659,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012660,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012661,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0012662,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012663,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0012664,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012665,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012666,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0012667,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012668,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0012669,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0012670,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0012672,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012673,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012674,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0012675,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0012676,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012677,1.0,True,True,True,True,False,0,0,1.0
MassSpecGymID0012678,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012679,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0012680,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012681,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0012682,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012683,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0012684,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012685,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012686,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0012687,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012688,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012689,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012690,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012691,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012692,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012693,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012694,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012695,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0012696,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012697,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012698,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012699,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012700,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0012701,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012702,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012703,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012704,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012705,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0012706,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012707,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012708,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012709,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012710,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012711,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012712,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012713,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012714,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012715,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012716,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012717,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0012718,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012719,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012720,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012721,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0012722,0.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012723,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0012724,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012725,0.0,False,False,False,True,False,0,0,6.0
MassSpecGymID0012726,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0012727,0.0,False,False,False,True,False,0,0,5.0
MassSpecGymID0012728,0.0,False,False,False,True,False,0,0,4.0
MassSpecGymID0012729,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0012730,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012731,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012732,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0012733,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012734,0.0,False,False,False,True,False,0,0,9.0
MassSpecGymID0012735,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0012736,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012737,1.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012738,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012739,0.0,False,False,False,True,False,0,0,7.0
MassSpecGymID0012740,1.0,False,False,False,True,False,0,0,1.0
MassSpecGymID0012741,0.0,False,False,False,True,False,0,0,10.0
MassSpecGymID0012742,0.0,False,False,False,True,False,0,0,8.0
MassSpecGymID0012743,0.0,False,False,False,True,True,0,0,1.0
MassSpecGymID0012945,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012946,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012948,0.0,False,False,False,True,False,0,0,3.0
MassSpecGymID0012949,0.0,False,False,False,True,False,0,0,3.0
