run,name,round1_candidates,round2_candidates,added_unique_candidates,top1_changed,round1_top1_tanimoto,round2_top1_tanimoto,round1_best_tanimoto,round2_best_tanimoto,round1_best_rank,round2_best_rank,round1_exact_rank,round2_exact_rank,added_best_tanimoto,added_exact_any
A35_before_fix,MassSpecGymID0196233,29,60,31,False,0.46078431372549017,0.46078431372549017,0.5625,0.5909090909090909,6,7,,,0.5909090909090909,False
A35_before_fix,MassSpecGymID0309172,22,37,15,False,0.525,0.525,0.5512820512820513,0.5625,4,6,,,0.5625,False
A35_before_fix,MassSpecGymID0072572,31,59,28,True,0.41509433962264153,0.45454545454545453,0.41509433962264153,0.4636363636363636,1,2,,,0.4636363636363636,False
A35_before_fix,MassSpecGymID0241834,28,50,22,False,0.43902439024390244,0.43902439024390244,0.4666666666666667,0.4666666666666667,8,11,,,0.4533333333333333,False
A35_before_fix,MassSpecGymID0209395,25,46,21,False,0.3787878787878788,0.3787878787878788,0.5238095238095238,0.5409836065573771,2,4,,,0.5409836065573771,False
A35_before_fix,MassSpecGymID0190057,19,44,25,False,1.0,1.0,1.0,1.0,1,1,1,1,0.632183908045977,False
A37_after_fix,MassSpecGymID0374577,20,36,16,True,0.11475409836065574,0.11475409836065574,0.14285714285714285,0.16666666666666666,17,11,,,0.16666666666666666,False
A37_after_fix,MassSpecGymID0075191,25,50,25,False,0.34951456310679613,0.34951456310679613,0.34951456310679613,0.35185185185185186,1,5,,,0.35185185185185186,False
A37_after_fix,MassSpecGymID0395776,31,57,26,False,0.18627450980392157,0.18627450980392157,0.2698412698412698,0.2698412698412698,23,42,,,0.24615384615384617,False
A37_after_fix,MassSpecGymID0088989,14,24,10,False,1.0,1.0,1.0,1.0,1,1,1,1,0.8305084745762712,False
A37_after_fix,MassSpecGymID0134704,23,43,20,False,0.17037037037037037,0.17037037037037037,0.1897810218978102,0.2076923076923077,12,13,,,0.2076923076923077,False
A37_after_fix,MassSpecGymID0262882,30,54,24,False,0.6235294117647059,0.6235294117647059,0.691358024691358,0.691358024691358,6,6,,,0.6219512195121951,False
A37_after_fix,MassSpecGymID0310002,30,56,26,False,0.5681818181818182,0.5681818181818182,0.6753246753246753,0.7368421052631579,3,2,,,0.7368421052631579,False
A37_after_fix,MassSpecGymID0193644,23,47,24,False,0.66,0.66,0.66,0.66,1,1,,,0.5904761904761905,False
A37_after_fix,MassSpecGymID0179811,22,43,21,True,0.16853932584269662,0.20253164556962025,0.2702702702702703,0.2807017543859649,5,17,,,0.2807017543859649,False
A37_after_fix,MassSpecGymID0236112,31,54,23,False,0.5671641791044776,0.5671641791044776,0.6229508196721312,0.6290322580645161,6,10,,,0.6290322580645161,False
A37_after_fix,MassSpecGymID0380611,31,54,23,False,0.34108527131782945,0.34108527131782945,0.34108527131782945,0.34108527131782945,1,1,,,0.2589928057553957,False
A37_after_fix,MassSpecGymID0211487,29,56,27,False,1.0,1.0,1.0,1.0,1,1,1,1,0.6071428571428571,False
A37_after_fix,MassSpecGymID0225773,21,37,16,True,0.7580645161290323,1.0,0.9272727272727272,1.0,5,1,,1,1.0,True
A37_after_fix,MassSpecGymID0212445,28,47,19,False,0.3380281690140845,0.3380281690140845,0.46774193548387094,0.46774193548387094,4,8,,,0.4107142857142857,False
A37_after_fix,MassSpecGymID0190113,27,52,25,True,0.23469387755102042,0.25,0.26582278481012656,0.3108108108108108,7,8,,,0.3108108108108108,False
A37_after_fix,MassSpecGymID0215197,12,21,9,False,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,1,1,,,0.7538461538461538,False
A37_after_fix,MassSpecGymID0160948,24,45,21,True,0.14018691588785046,0.11009174311926606,0.1523809523809524,0.16346153846153846,18,31,,,0.16346153846153846,False
A37_after_fix,MassSpecGymID0208288,25,46,21,True,0.21686746987951808,0.2625,0.2972972972972973,0.2972972972972973,2,5,,,0.2692307692307692,False
A37_after_fix,MassSpecGymID0218829,25,47,22,False,0.25,0.25,0.3559322033898305,0.3559322033898305,20,33,,,0.30985915492957744,False
A37_after_fix,MassSpecGymID0190471,24,44,20,False,0.44761904761904764,0.44761904761904764,0.44761904761904764,0.44761904761904764,1,1,,,0.4423076923076923,False
A37_after_fix,MassSpecGymID0344987,22,42,20,False,0.10434782608695652,0.10434782608695652,0.1574074074074074,0.16379310344827586,12,34,,,0.16379310344827586,False
A37_after_fix,MassSpecGymID0146918,28,53,25,False,0.5092592592592593,0.5092592592592593,0.5092592592592593,0.5092592592592593,1,1,,,0.4732142857142857,False
A37_after_fix,MassSpecGymID0206920,26,42,16,False,0.136986301369863,0.136986301369863,0.18181818181818182,0.18181818181818182,10,11,,,0.17105263157894737,False
A37_after_fix,MassSpecGymID0213004,24,44,20,True,0.2236842105263158,0.1728395061728395,0.22972972972972974,0.22972972972972974,5,9,,,0.22857142857142856,False
A37_after_fix,MassSpecGymID0250589,29,54,25,False,0.8072289156626506,0.8072289156626506,0.8072289156626506,0.8072289156626506,1,1,,,0.6741573033707865,False
A37_after_fix,MassSpecGymID0347505,30,54,24,True,0.15079365079365079,0.13432835820895522,0.168,0.168,20,37,,,0.16279069767441862,False
A37_after_fix,MassSpecGymID0232185,29,56,27,False,0.8352941176470589,0.8352941176470589,0.8352941176470589,0.8352941176470589,1,1,,,0.6808510638297872,False
A37_after_fix,MassSpecGymID0056495,30,58,28,True,0.1643835616438356,0.12,0.2,0.2,26,49,,,0.17142857142857143,False
A37_after_fix,MassSpecGymID0234679,19,31,12,False,1.0,1.0,1.0,1.0,1,1,1,1,0.8,False
A37_after_fix,MassSpecGymID0164494,31,55,24,True,0.38392857142857145,0.4166666666666667,0.5227272727272727,0.5227272727272727,4,7,,,0.47474747474747475,False
A37_after_fix,MassSpecGymID0212665,30,59,29,True,0.37254901960784315,0.5319148936170213,0.44,0.5319148936170213,9,1,,,0.5319148936170213,False
A37_after_fix,MassSpecGymID0215115,20,31,11,True,0.4262295081967213,0.4262295081967213,0.45454545454545453,0.6078431372549019,5,8,,,0.6078431372549019,False
A37_after_fix,MassSpecGymID0337070,27,47,20,False,0.17142857142857143,0.17142857142857143,0.21649484536082475,0.21649484536082475,17,30,,,0.19444444444444445,False
A37_after_fix,MassSpecGymID0227808,24,40,16,False,1.0,1.0,1.0,1.0,1,1,1,1,0.746031746031746,False
A37_after_fix,MassSpecGymID0214355,16,29,13,True,0.22727272727272727,0.2222222222222222,0.22727272727272727,0.23809523809523808,1,14,,,0.23809523809523808,False
A37_after_fix,MassSpecGymID0370978,27,51,24,True,0.2644628099173554,0.4205607476635514,0.2956521739130435,0.4205607476635514,2,1,,,0.4205607476635514,False
A37_after_fix,MassSpecGymID0388355,30,52,22,True,0.330188679245283,0.3770491803278688,0.330188679245283,0.3770491803278688,1,1,,,0.3770491803278688,False
A37_after_fix,MassSpecGymID0205522,23,39,16,False,1.0,1.0,1.0,1.0,1,1,1,1,0.7804878048780488,False
A37_after_fix,MassSpecGymID0341967,21,38,17,True,0.21875,0.2,0.26229508196721313,0.26229508196721313,2,3,,,0.24193548387096775,False
A37_after_fix,MassSpecGymID0238410,17,35,18,False,1.0,1.0,1.0,1.0,1,1,1,1,0.7564102564102564,False
A37_after_fix,MassSpecGymID0161730,30,55,25,False,0.1826086956521739,0.1826086956521739,0.21052631578947367,0.21052631578947367,10,22,,,0.20833333333333334,False
A37_after_fix,MassSpecGymID0229846,25,44,19,True,0.16666666666666666,0.18085106382978725,0.18085106382978725,0.25333333333333335,2,6,,,0.25333333333333335,False
A37_after_fix,MassSpecGymID0383012,28,46,18,True,0.11538461538461539,0.0970873786407767,0.18309859154929578,0.18309859154929578,23,37,,,0.15476190476190477,False
A37_after_fix,MassSpecGymID0047729,30,54,24,True,0.14285714285714285,0.14705882352941177,0.15053763440860216,0.15730337078651685,21,14,,,0.15730337078651685,False
A37_after_fix,MassSpecGymID0196233,29,52,23,False,0.46078431372549017,0.46078431372549017,0.5625,0.5625,6,10,,,0.53125,False
A37_after_fix,MassSpecGymID0309172,22,38,16,False,0.525,0.525,0.5512820512820513,0.5512820512820513,4,4,,,0.5384615384615384,False
A37_after_fix,MassSpecGymID0072572,31,59,28,True,0.41509433962264153,0.4051724137931034,0.41509433962264153,0.4424778761061947,1,20,,,0.4424778761061947,False
A37_after_fix,MassSpecGymID0241834,28,51,23,True,0.43902439024390244,0.4074074074074074,0.4666666666666667,0.4666666666666667,8,11,,,0.45569620253164556,False
A37_after_fix,MassSpecGymID0209395,25,42,17,True,0.3787878787878788,0.3880597014925373,0.5238095238095238,0.5238095238095238,2,3,,,0.43103448275862066,False
A37_after_fix,MassSpecGymID0190057,19,38,19,False,1.0,1.0,1.0,1.0,1,1,1,1,0.8461538461538461,False
