shard,rows,total_spectra,elapsed_time_seconds,spectra_per_second,exact_match_top1,exact_match_top10,tanimoto_top1_mean,tanimoto_top10_mean,mist_tanimoto_mean,avg_formula_matches,avg_predictions_collected,avg_total_generated,formula_match_success_rate,avg_attempts_to_match,never_matched_rate,total_generation_time,generation_time_percentage,total_elapsed_time_seconds,proposal_source_counts,shard_index
shard_024,483,483,10986.632948160172,0.04396251356343742,0.08695652173913043,0.09523809523809523,0.46229801006136967,0.492365983332166,0.5328470428568729,7.196687370600414,10.0,92.05383022774328,0.9420289855072463,23.141671205490397,0.057971014492753624,10907.883036136627,99.28322068831167,10986.632948160172,"[['formula', 483]]",24
shard_025,500,500,18079.40763235092,0.027655773362027097,0.0,0.008,0.6287677322030067,0.6811594623029232,0.6327006405591965,5.654,10.0,97.462,0.978,24.83358625015067,0.022,17987.148542881012,99.48970070620663,18079.40763235092,"[['formula', 500]]",25
shard_026,500,500,15965.470158338547,0.03131758695742867,0.104,0.12,0.49607909417152407,0.5208745178133249,0.5137305136024952,4.984,10.0,95.748,0.9,31.225346369679706,0.1,15877.764911413193,99.4506566605585,15965.470158338547,"[['formula', 500]]",26
shard_027,500,500,16498.69198870659,0.030305432718075575,0.002,0.006,0.32405355434119704,0.34946078541874886,0.40636986066401004,3.764,10.0,97.914,0.856,39.499870871599846,0.144,16412.953508853912,99.48033165349493,16498.69198870659,"[['formula', 500]]",27
shard_028,500,500,18464.793923854828,0.027078558366906313,0.0,0.0,0.37783563482761384,0.40297410714626314,0.472923621609807,2.916,10.0,98.384,0.79,47.37745885619302,0.21,18375.283012866974,99.5152347144681,18464.793923854828,"[['formula', 500]]",28
shard_029,500,500,16512.34043622017,0.030280383446021946,0.0,0.0,0.31445554699003697,0.33921930338442324,0.39121295484900476,3.476,10.0,97.41,0.776,40.37937829638861,0.224,16425.39582681656,99.47345677773882,16512.34043622017,"[['formula', 500]]",29
shard_030,460,460,15580.042650938034,0.029524951266568233,0.015217391304347827,0.01956521739130435,0.364217621460557,0.38733018756560655,0.49921134423626506,3.55,10.0,97.00652173913043,0.7804347826086957,46.270050587474714,0.21956521739130436,15501.316949129105,99.49470162840542,15580.042650938034,"[['formula', 460]]",30
shard_031,483,483,12044.425474405289,0.04010153917481472,0.012422360248447204,0.014492753623188406,0.2947206119958535,0.31837546169819547,0.4433772944484685,4.488612836438923,10.0,94.79503105590062,0.8405797101449275,37.81641808894436,0.15942028985507245,11968.743109464645,99.37163989181991,12044.425474405289,"[['formula', 483]]",31
shard_032,468,468,13452.18451166153,0.034789888556337946,0.01282051282051282,0.01282051282051282,0.30678325613689983,0.3287910000444987,0.4624468815855236,4.098290598290598,10.0,97.52136752136752,0.8461538461538461,42.2741827152623,0.15384615384615385,13375.582537412643,99.43056107963372,13452.18451166153,"[['formula', 468]]",32
shard_033,464,464,15775.550863265991,0.029412602071503112,0.0021551724137931034,0.004310344827586207,0.35324762933405823,0.37609319218659193,0.508148713904465,2.831896551724138,10.0,99.45258620689656,0.8017241379310345,47.657156821672956,0.19827586206896552,15697.331307172775,99.50417226776307,15775.550863265991,"[['formula', 464]]",33
shard_034,500,500,17739.663409233093,0.028185427675012215,0.012,0.012,0.33753950634598734,0.3597060606777668,0.48573851862549783,3.792,10.0,95.086,0.768,39.15491105114092,0.232,17656.523658037186,99.53133411114985,17739.663409233093,"[['formula', 500]]",34
shard_035,54,54,1059.883466720581,0.05094899740919925,0.12962962962962962,0.16666666666666666,0.5541640644272169,0.5900290091004636,0.595377074347602,8.185185185185185,10.0,89.44444444444444,0.9444444444444444,22.227889920705437,0.05555555555555555,1051.3877713680267,99.19843118424697,1059.883466720581,"[['formula', 54]]",35
