murcko_scaffold,spectra,unique_targets,exact_top10,tanimoto_top10,mist_tanimoto,chem_class,example_smiles
c1cc(-c2n[nH]cc2-c2ccc3c(c2)OCCO3)ccc1OC1CCCCO1,7,1,0.0,0.2670806901795523,0.30384592924799236,aromatic_rich_polycycle,C1COC2=C(O1)C=CC(=C2)C3=C(NN=C3C4=C(C=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)O)C(=O)O
c1ccc(CCCN2CCC(c3ccccc3)CC2)cc1,7,1,0.0,0.2941982192652565,0.40800535891737255,other_midsize,CC1CN(CC[C@]1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NCC(=O)O
c1ccc(CN2CCCCC2)cc1,7,1,0.0,0.23355034206594735,0.31142055136816843,small_heteroaromatic,CC(=O)OCC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2
c1nc(Nc2cc(C3CC3)n[nH]2)c2c(n1)[nH]c1cc(-c3cnoc3)ccc12,7,3,0.0,0.3622243234089443,0.4561959994690759,aromatic_rich_polycycle,CC1=C(C(=NO1)C)C2=C(C=C3C(=C2)NC4=C3C(=NC(=N4)C)NC5=CC(=NN5C)C6CC6)OC
O=C1CN(C2CCC(CNc3ccc(N4C(=O)Cc5ccccc5[C@@H]4c4ccccc4)cc3)CC2)CCN1,7,1,0.14285714285714285,0.8358555776732308,0.9643711447715759,other_midsize,CC(C)OC1=C(C=C2CC(=O)N([C@H](C2=C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)N(C)CC5CCC(CC5)N6CCN(C(=O)C6)C)OC
O=C1Nc2cnc(Nc3ccc(C(=O)N4CCC(N5CCNCC5)CC4)cc3)nc2Nc2ccccc21,7,3,0.14285714285714285,0.7286975107022694,0.7522177270480565,other_midsize,CCC(C)N1C2=CC=CC=C2C(=O)N(C3=CN=C(N=C31)NC4=C(C=C(C=C4)C(=O)N5CCC(CC5)N6CCN(CC6)C)OC)C
c1ccc(Nc2ccnc3ccccc23)cc1,7,2,0.14285714285714285,0.6870994248560497,0.7231361525399345,aromatic_rich_polycycle,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl
c1ccc2c(c1)CC[C@H]1[C@@H]3CCCC3CC[C@@H]21,7,1,0.14285714285714285,0.8096214362553188,0.984375,polycyclic_aliphatic_like,C[C@@]12CC[C@@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
C(#Cc1ccccn1)c1ccc2c(c1)CCCS2,7,1,0.2857142857142857,0.39565855477537426,0.3895677200385502,small_heteroaromatic,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C
O=C1Cc2ccccc2CCN1CCCNCCc1ccccc1,7,1,0.2857142857142857,0.5415035273347583,0.6181800578321729,other_midsize,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CCC3=CC(=C(C=C3)OC)OC
c1ccc(-c2nccc(OCCCN3CCCCC3)n2)cc1,7,2,0.2857142857142857,0.682830205985478,0.6933516604559762,small_heteroaromatic,CC1=C(C(=NC(=N1)C2=CC=C(C=C2)F)OCCCN3CCCCC3)Cl
O=C(O[C@H](CCc1ccccc1)c1ccccc1)[C@@H]1CCCCN1,7,2,0.42857142857142855,0.7925770836217063,0.8199665248394012,other_midsize,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC(=C(C=C2)OC)OC)C3=CC(=CC=C3)NC(=O)CCC(=O)O
c1ccc(C2CCNCC2)c(CCNc2nc(N3CCOCC3)nc(-n3cnc4ccccc43)n2)c1,7,2,0.42857142857142855,0.6233131566217968,0.6377017902476447,other_midsize,CC(C)(CC1=CC=CC=C1C2CCN(CC2)C)NC3=NC(=NC(=N3)N4CCOCC4)N5C6=CC=CC=C6N=C5S(=O)(=O)C
O=c1nc(N2CCC3(CC2)OCCO3)sc2ccccc12,7,1,0.8571428571428571,0.8946641172681536,0.9236387780734471,polycyclic_aliphatic_like,C[C@H]1COC2(O1)CCN(CC2)C3=NC(=O)C4=C(S3)C(=CC(=C4)C(F)(F)F)[N+](=O)[O-]
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1cccs1,7,1,1.0,1.0,0.9468553747449603,other_midsize,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl
C(=C1\SCC(c2ccccc2)S1)/n1ccnc1,6,1,0.0,0.18130311866601304,0.21081884453694022,small_heteroaromatic,C1C(S/C(=C(/C#N)\N2C=CN=C2)/S1)C3=CC=CC=C3Cl
C1CCC(OC2OCCC2OC2CCCCO2)CC1,6,1,0.0,0.5170108030239741,0.8999999761581421,glycoside_or_sugar_rich,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O
C=C1CC2C3C=CC(=O)OCC3CCC2C2C(=O)OCC(=O)C12,6,1,0.0,0.2002115324139595,0.2496396874388059,polycyclic_aliphatic_like,CC1C(=O)C2(C(C(=O)O1)C3(C(CC4C(OC(=O)C=CC4(C3CC2=C)C)(C)C)OC(=O)C)C)C
C=C1CCCC/C=C/CC(=O)C2CC[C@H](OC(=O)COC(=O)c3ccccc3)[C@@H]2C1,6,1,0.0,0.2968862205743789,0.42316436767578125,other_macrocycle,C[C@H]1/C=C/C([C@@H]([C@@H]([C@H](C(=C)[C@@H]([C@H]2[C@H]([C@](C[C@@]2(C1=O)O)(C)OC(=O)C)OC(=O)COC(=O)C3=CC=CC=C3)OC(=O)C)OC(=O)C(C)C)OC(=O)C)OC(=O)C)(C)C
C=C1CC[C@@H]2C[C@@H]2/C=C/C(=O)C2CC[C@H](OC(=O)c3ccccc3)[C@@H]2C1,6,1,0.0,0.40255332986513775,0.668113574385643,other_macrocycle,C[C@H]1C[C@]2([C@H]([C@H]1OC(=O)C3=CC=CC=C3)[C@H](C(=C)CC[C@H]4[C@H](C4(C)C)/C=C(/C2=O)\C)OC(=O)C)OC(=O)C
O=C(/C=C/c1ccccc1)OC(CO[C@H]1CCCCO1)C(=O)OCc1ccc(O[C@H]2CCCCO2)cc1,6,1,0.0,0.3796451985836029,0.383635550737381,glycoside_or_sugar_rich,CC(C)(C(C(=O)OCC1=CC=C(C=C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC(=O)/C=C/C3=CC=C(C=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
O=C(/C=C/c1ccccc1)OC1CC=C/C1=C\CO[C@H]1CCCCO1,6,2,0.0,0.465621680021286,0.45260942975680035,other_midsize,CC1=C(/C(=C\CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)/C(C1)OC(=O)/C=C/C3=CC=C(C=C3)O)C(=O)O
O=C(/C=C/c1ccccc1)O[C@@H]1[C@@H](CO[C@H]2CCCO2)O[C@@H](OCCc2ccccc2)C[C@H]1O[C@H]1CCCCO1,6,1,0.0,0.789807011683782,0.7799863616625468,glycoside_or_sugar_rich,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO[C@H]4[C@@H]([C@](CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O
O=C(C=CC=CC=CC=CC=CC=CC=CC(=O)OC1CCCC(COC2CCCCO2)O1)OC1CCCCO1,6,1,0.0,0.3173236052195231,0.292172076801459,glycoside_or_sugar_rich,CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C=CC=C(C)C(=O)OC3C(C(C(C(O3)CO)O)O)O
