bit,threshold
772,0.30000001192092896
773,0.25
774,0.18700000643730164
775,0.30000001192092896
776,0.07999999821186066
777,0.15000000596046448
778,0.10000000149011612
779,0.019999999552965164
780,0.019999999552965164
781,0.6000000238418579
782,0.019999999552965164
783,0.5
784,0.20000000298023224
785,0.25
786,0.18700000643730164
787,0.18700000643730164
788,0.07999999821186066
789,0.20000000298023224
790,0.18700000643730164
791,0.10000000149011612
792,0.05000000074505806
793,0.3499999940395355
794,0.20000000298023224
795,0.20000000298023224
796,0.019999999552965164
797,0.6000000238418579
798,0.18700000643730164
799,0.18700000643730164
800,0.30000001192092896
801,0.4000000059604645
802,0.4000000059604645
803,0.25
804,0.3499999940395355
805,0.11999999731779099
806,0.3499999940395355
807,0.5
808,0.10000000149011612
809,0.15000000596046448
810,0.20000000298023224
811,0.6000000238418579
812,0.05000000074505806
813,0.019999999552965164
814,0.11999999731779099
815,0.07999999821186066
816,0.25
817,0.20000000298023224
818,0.25
819,0.18700000643730164
820,0.11999999731779099
821,0.25
822,0.20000000298023224
823,0.5
824,0.3499999940395355
825,0.30000001192092896
826,0.6000000238418579
827,0.15000000596046448
828,0.30000001192092896
829,0.4000000059604645
830,0.18700000643730164
831,0.3499999940395355
832,0.019999999552965164
833,0.5
834,0.15000000596046448
835,0.20000000298023224
836,0.20000000298023224
837,0.11999999731779099
838,0.07999999821186066
839,0.15000000596046448
840,0.10000000149011612
841,0.3499999940395355
842,0.15000000596046448
843,0.25
844,0.18700000643730164
845,0.5
846,0.18700000643730164
847,0.20000000298023224
848,0.07999999821186066
849,0.18700000643730164
850,0.18700000643730164
851,0.11999999731779099
852,0.3499999940395355
853,0.019999999552965164
854,0.11999999731779099
855,0.11999999731779099
856,0.019999999552965164
857,0.3499999940395355
858,0.3499999940395355
859,0.30000001192092896
860,0.5
861,0.07999999821186066
862,0.25
863,0.019999999552965164
864,0.20000000298023224
865,0.25
866,0.15000000596046448
867,0.05000000074505806
868,0.15000000596046448
869,0.20000000298023224
870,0.3499999940395355
871,0.07999999821186066
872,0.18700000643730164
873,0.18700000643730164
874,0.05000000074505806
875,0.4000000059604645
876,0.25
877,0.5
878,0.07999999821186066
879,0.15000000596046448
880,0.18700000643730164
881,0.30000001192092896
882,0.019999999552965164
883,0.3499999940395355
884,0.10000000149011612
885,0.3499999940395355
886,0.25
887,0.30000001192092896
888,0.10000000149011612
889,0.6000000238418579
890,0.20000000298023224
891,0.30000001192092896
892,0.07999999821186066
893,0.07999999821186066
894,0.07999999821186066
895,0.11999999731779099
896,0.10000000149011612
897,0.6000000238418579
898,0.11999999731779099
899,0.07999999821186066
900,0.019999999552965164
901,0.18700000643730164
902,0.019999999552965164
903,0.05000000074505806
904,0.25
905,0.18700000643730164
906,0.10000000149011612
907,0.07999999821186066
908,0.20000000298023224
909,0.05000000074505806
910,0.20000000298023224
911,0.18700000643730164
912,0.11999999731779099
913,0.07999999821186066
914,0.6000000238418579
915,0.15000000596046448
916,0.18700000643730164
917,0.18700000643730164
918,0.019999999552965164
919,0.20000000298023224
920,0.05000000074505806
921,0.3499999940395355
922,0.15000000596046448
923,0.15000000596046448
924,0.07999999821186066
925,0.15000000596046448
926,0.15000000596046448
927,0.07999999821186066
928,0.25
929,0.11999999731779099
930,0.11999999731779099
931,0.25
932,0.25
933,0.25
934,0.30000001192092896
935,0.30000001192092896
936,0.18700000643730164
937,0.25
938,0.07999999821186066
