strategy,spec_name,tanimoto,predicted_active_bits,target_active_bits
global_threshold_0.2,MassSpecGymID0040046,0.5113636255264282,58,75
global_threshold_0.2,MassSpecGymID0051503,0.8113207817077637,48,48
global_threshold_0.2,MassSpecGymID0052603,0.738095223903656,68,78
global_threshold_0.2,MassSpecGymID0053008,0.7377049326896667,54,52
global_threshold_0.2,MassSpecGymID0059647,0.7037037014961243,62,76
global_threshold_0.2,MassSpecGymID0064677,0.7818182110786438,55,43
global_threshold_0.2,MassSpecGymID0064693,0.7636363506317139,54,43
global_threshold_0.2,MassSpecGymID0064730,0.8269230723381042,52,43
global_threshold_0.2,MassSpecGymID0076538,0.5316455960273743,64,57
global_threshold_0.2,MassSpecGymID0077268,0.6302521228790283,112,82
global_threshold_0.2,MassSpecGymID0078748,0.7424242496490479,57,58
global_threshold_0.2,MassSpecGymID0078749,0.7121211886405945,55,58
global_threshold_0.2,MassSpecGymID0081356,0.75,35,35
global_threshold_0.2,MassSpecGymID0089011,0.800000011920929,64,62
global_threshold_0.2,MassSpecGymID0089970,0.6842105388641357,50,46
global_threshold_0.2,MassSpecGymID0110700,0.7525773048400879,94,76
global_threshold_0.2,MassSpecGymID0110709,0.6095238327980042,93,76
global_threshold_0.2,MassSpecGymID0114461,0.7333333492279053,78,78
global_threshold_0.2,MassSpecGymID0114470,0.761904776096344,70,78
global_threshold_0.2,MassSpecGymID0147565,0.6363636255264282,71,55
global_threshold_0.2,MassSpecGymID0148224,0.53125,100,96
global_threshold_0.2,MassSpecGymID0154000,0.5887096524238586,115,82
global_threshold_0.2,MassSpecGymID0179793,0.6486486196517944,31,30
global_threshold_0.2,MassSpecGymID0186407,0.5888888835906982,66,77
global_threshold_0.2,MassSpecGymID0189671,0.656862735748291,92,77
global_threshold_0.2,MassSpecGymID0190452,0.6666666865348816,72,73
global_threshold_0.2,MassSpecGymID0190470,0.7032967209815979,79,76
global_threshold_0.2,MassSpecGymID0194051,0.7439024448394775,72,71
global_threshold_0.2,MassSpecGymID0197193,0.5438596606254578,48,40
global_threshold_0.2,MassSpecGymID0204274,0.5081967115402222,45,47
global_threshold_0.2,MassSpecGymID0204467,0.6600000262260437,39,44
global_threshold_0.2,MassSpecGymID0207523,0.6716417670249939,63,49
global_threshold_0.2,MassSpecGymID0208031,0.699999988079071,24,27
global_threshold_0.2,MassSpecGymID0209122,0.6567164063453674,56,55
global_threshold_0.2,MassSpecGymID0211629,0.6935483813285828,52,53
global_threshold_0.2,MassSpecGymID0212150,0.5737704634666443,47,49
global_threshold_0.2,MassSpecGymID0214730,0.7058823704719543,42,45
global_threshold_0.2,MassSpecGymID0215032,0.7450980544090271,40,49
global_threshold_0.2,MassSpecGymID0215416,0.5535714030265808,40,47
global_threshold_0.2,MassSpecGymID0219479,0.6341463327407837,64,70
global_threshold_0.2,MassSpecGymID0219485,0.6341463327407837,64,70
global_threshold_0.2,MassSpecGymID0220707,0.7916666865348816,43,43
global_threshold_0.2,MassSpecGymID0224158,0.7090908885002136,51,43
global_threshold_0.2,MassSpecGymID0225652,0.6984127163887024,56,51
global_threshold_0.2,MassSpecGymID0225795,0.5833333134651184,54,60
global_threshold_0.2,MassSpecGymID0000204,0.8974359035491943,39,35
global_threshold_0.2,MassSpecGymID0000215,0.8974359035491943,39,35
global_threshold_0.2,MassSpecGymID0001462,0.9431818127632141,88,83
global_threshold_0.2,MassSpecGymID0005667,1.0,36,36
global_threshold_0.2,MassSpecGymID0012743,0.8488371968269348,83,76
global_threshold_0.2,MassSpecGymID0012984,0.8902438879013062,81,74
global_threshold_0.2,MassSpecGymID0014705,0.8703703880310059,54,47
global_threshold_0.2,MassSpecGymID0014786,0.8392857313156128,56,47
global_threshold_0.2,MassSpecGymID0018540,0.976190447807312,42,41
global_threshold_0.2,MassSpecGymID0030219,0.800000011920929,37,44
global_threshold_0.2,MassSpecGymID0034827,0.8113207817077637,46,50
global_threshold_0.2,MassSpecGymID0034829,0.8363636136054993,51,50
global_threshold_0.2,MassSpecGymID0034856,0.8846153616905212,48,50
global_threshold_0.2,MassSpecGymID0039319,0.9890109896659851,91,90
global_threshold_0.2,MassSpecGymID0039780,0.9186046719551086,84,81
global_threshold_0.2,MassSpecGymID0040626,0.8235294222831726,32,30
global_threshold_0.2,MassSpecGymID0041215,0.9358974099159241,77,74
global_threshold_0.2,MassSpecGymID0050419,0.8965517282485962,29,26
global_threshold_0.2,MassSpecGymID0057096,0.9672130942344666,59,61
global_threshold_0.2,MassSpecGymID0071923,0.8225806355476379,53,60
global_threshold_0.2,MassSpecGymID0071936,0.9607843160629272,50,50
global_threshold_0.2,MassSpecGymID0073160,1.0,35,35
global_threshold_0.2,MassSpecGymID0076442,0.9821428656578064,55,56
global_threshold_0.2,MassSpecGymID0079206,0.9107142686843872,53,54
global_threshold_0.2,MassSpecGymID0082615,0.9622641801834106,51,53
global_threshold_0.2,MassSpecGymID0083096,0.875,14,16
global_threshold_0.2,MassSpecGymID0089007,0.8358209133148193,61,62
global_threshold_0.2,MassSpecGymID0096922,0.925000011920929,40,37
global_threshold_0.2,MassSpecGymID0105076,0.9176470637321472,85,78
global_threshold_0.2,MassSpecGymID0146921,0.8877550959587097,98,87
global_threshold_0.2,MassSpecGymID0148963,0.8709677457809448,62,54
global_threshold_0.2,MassSpecGymID0152459,0.8545454740524292,54,48
global_threshold_0.2,MassSpecGymID0153990,0.9454545378684998,55,52
global_threshold_0.2,MassSpecGymID0199068,0.8505747318267822,79,82
global_threshold_0.2,MassSpecGymID0203168,0.8630136847496033,68,68
global_threshold_0.2,MassSpecGymID0208049,0.9137930870056152,57,54
global_threshold_0.2,MassSpecGymID0215493,0.918367326259613,48,46
global_threshold_0.2,MassSpecGymID0218115,0.9591836929321289,48,48
global_threshold_0.2,MassSpecGymID0219385,1.0,69,69
global_threshold_0.2,MassSpecGymID0220012,0.9591836929321289,48,48
global_threshold_0.2,MassSpecGymID0221343,0.9672130942344666,61,59
global_threshold_0.2,MassSpecGymID0221368,0.9102563858032227,76,73
global_threshold_0.2,MassSpecGymID0221550,0.9375,63,61
global_threshold_0.2,MassSpecGymID0221680,0.8666666746139526,54,58
global_threshold_0.2,MassSpecGymID0221882,0.8429751992225647,114,109
global_threshold_0.2,MassSpecGymID0222672,1.0,72,72
global_threshold_0.2,MassSpecGymID0223894,0.9384615421295166,64,62
global_threshold_0.2,MassSpecGymID0225286,0.9677419066429138,62,60
global_threshold_0.2,MassSpecGymID0225421,0.9622641801834106,53,51
global_threshold_0.2,MassSpecGymID0225863,0.9591836929321289,49,47
