mode,alpha_primary,value,mean_tanimoto,median_tanimoto,bit_accuracy,bit_precision,bit_recall,bit_f1,mean_active_bits,mean_target_active_bits
top_k,0.7,48,0.4602970773797166,0.4647887349128723,0.9892708765811256,0.7073432494880009,0.5317417303562808,0.6070994799498776,48.0,63.8514404296875
threshold,0.9,0.1,0.457947403868992,0.45652174949645996,0.9845261151366316,0.5024288007288029,0.7620046664139094,0.6055725360722055,96.83978271484375,63.8514404296875
threshold,0.5,0.35,0.45223239675877863,0.41860464215278625,0.9892929534679737,0.6869663848216127,0.5753086338526371,0.6261990239963692,53.47319412231445,63.8514404296875
threshold,0.5,0.3,0.45198124004824786,0.4237288236618042,0.9885015701512695,0.6367836355591836,0.6107623591296488,0.6235016218480799,61.24224090576172,63.8514404296875
threshold,0.8,0.6,0.4516067491938294,0.4065934121608734,0.991042873673233,0.8861035389801359,0.4881559111884552,0.6295123972770905,35.175865173339844,63.8514404296875
threshold,0.8,0.125,0.45025086806252623,0.4528301954269409,0.985073229623418,0.5147317202328406,0.7418545417760829,0.6077673710047885,92.02557373046875,63.8514404296875
threshold,1.0,0.7,0.4496350110102237,0.4027777910232544,0.9910646428682783,0.8939436264760626,0.48425846044527493,0.6282094162971213,34.58898162841797,63.8514404296875
threshold,0.6,0.2,0.4485047000988466,0.43801653385162354,0.9866472526814315,0.558666520454755,0.6829519632410934,0.6145887838362907,78.05634307861328,63.8514404296875
top_k,0.6,80,0.44612243913694294,0.4196428656578064,0.9858982410900659,0.538066481121672,0.6741479518028691,0.5984690601428143,80.0,63.8514404296875
top_k,0.6,48,0.4439452702235989,0.4444444477558136,0.9889166976751628,0.6922316161669205,0.5203816360082012,0.5941294477384134,48.0,63.8514404296875
threshold,0.7,0.15,0.44226124004086687,0.44155845046043396,0.9853003702763155,0.5205768276732964,0.7214675600346403,0.604775960326376,88.49172973632812,63.8514404296875
top_k,0.95,96,0.4410417860186348,0.42307692766189575,0.9841638080388792,0.4947208291760752,0.7438077904604157,0.5942167197592944,96.0,63.8514404296875
